"番号","地区","品目","形式","材質","可燃ごみ","不燃ごみ","有害ごみ","プラスチック資源","資源","粗大ごみ","小型家電回収ボックス","集積所不可(直接搬入のみ可)","市では処理できないごみ","処理できない形式・材質","備考"
"2119","朝霞市","ポリバケツ","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2120","朝霞市","ボルト","","","","◎","","","","","","","○","仕事で使用したものは不可",""
"2121","朝霞市","保冷剤","ソフトタイプ、ハードタイプ","","◎","","","","","","","","","",""
"2122","朝霞市","保冷バッグ(クーラーバッグ)","","","◎","","","","","","","","","","50cm未満に切ってください。"
"2123","朝霞市","保冷庫","電気式","","","","","","","","","","◎","","家電リサイクル法対象品目。"
"2124","朝霞市","ホワイトボード","家庭用","","","◎","","","","○","","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。
事務機器は不可。"
"2125","朝霞市","ホワイトボードマーカー","","","","◎","","","","","","","○","仕事で使用したものは不可",""
"2126","朝霞市","本","","","","","","","◎","","","","","",""
"2127","朝霞市","本立て(ブックスタンド)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2128","朝霞市","本棚","","","","","","","","◎","","","","",""
"2129","朝霞市","ポンチョ","雨具","","◎","","","","","","","","","","50cm未満に切ってください。"
"2130","朝霞市","盆提灯(ぼんちょうちん)","仏具(電気式)","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"2131","朝霞市","ポンプ","水中ポンプ(清水用)、ファミリーポンプ、バスポンプ(風呂ポンプ)、灯油ポンプ、エアーポンプ、30cm未満","","","◎","","","","","☆","","○","仕事で使用したものは不可
汚水用水中ポンプ、30cm以上のものは不可。",""
"2132","朝霞市","マーカー","","","","◎","","","","","","","","",""
"2133","朝霞市","マーガリンの容器","","","◎","","","","","","","","","",""
"2134","朝霞市","麻雀卓","","","","","","","","◎","","","○","半自動麻雀卓、全自動麻雀卓は不可。",""
"2135","朝霞市","麻雀牌","","","","◎","","","","","","","","",""
"2136","朝霞市","麻雀マット","","","","","","","","◎","","","","",""
"2137","朝霞市","マイク","有線式、ワイヤレス式","","","◎","","","","","☆","","○","仕事で使用したものは不可","ワイヤレス式は電池を取り外してください。"
"2138","朝霞市","マウス","パソコン用","","","◎","","","","","☆","","○","仕事で使用したものは不可",""
"2139","朝霞市","マウスパッド","","布製、ウレタン製、皮革製","◎","","","","","","","","","",""
"2140","朝霞市","マウスパッド","","プラスチック製","","◎","","","","","","","","",""
"2141","朝霞市","マガジンラック","","","","","","","","◎","","","","",""
"2142","朝霞市","巻尺(メジャー)","","","","◎","","","","","","","","",""
"2143","朝霞市","巻き簾(まきす)","調理器具","竹製","◎","","","","","","","","","",""
"2144","朝霞市","巻き簾(まきす)","調理器具","合成樹脂製","","◎","","","","","","","","",""
"2145","朝霞市","マグカップ","","","","◎","","","","","","","","",""
"2146","朝霞市","マグネット(磁石)","","","","◎","","","","","","","","",""
"2147","朝霞市","マグネットクリップ","","","","◎","","","","","","","","",""
"2148","朝霞市","マグネットシート","","","","◎","","","","","","","","",""
"2149","朝霞市","マグネットバー","","","","◎","","","","","","","","",""
"2150","朝霞市","マグネットフック","","","","◎","","","","","","","","",""
"2151","朝霞市","枕","","","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2152","朝霞市","枕カバー(ピローケース)","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"2153","朝霞市","孫の手","","木製","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2154","朝霞市","孫の手","","プラスチック製、金属製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2155","朝霞市","間仕切り(パーティション)","","","","","","","","","","","◎","",""
"2156","朝霞市","マジックインキ(マジックペン)","","","","◎","","","","","","","","",""
"2157","朝霞市","マジックテープ","","","◎","","","","","","","","","",""
"2158","朝霞市","マジックハンド","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2159","朝霞市","マスカラの容器","","","","◎","","","","","","","","","必ず中身を使い切ってください。"
"2160","朝霞市","マスク","","","◎","","","","","","","","","",""
"2161","朝霞市","マッサージチェア","","","","","","","","◎","","","","",""
"2162","朝霞市","マッサージ器","ハンディ式","","","◎","","","","","☆","","","","電池を取り外してください。"
"2163","朝霞市","マッチ","","","◎","","","","","","","","","","使い切り、火薬部分を十分水で濡らしてください。"
"2164","朝霞市","マットレス(ベッドマット)","","","","","","","","◎","","","","",""
"2165","朝霞市","松葉杖","","","","","","","","◎","","","","",""
"2166","朝霞市","窓ガラス","","","","","","","","","","","◎","",""
"2167","朝霞市","窓用エアコン","","","","","","","","","","","◎","","家電リサイクル法対象品目。"
"2168","朝霞市","マドラー","","","","◎","","","","","","","","",""
"2169","朝霞市","まな板","","木製","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2170","朝霞市","まな板","","プラスチック製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2171","朝霞市","マニキュアの容器","","ガラス製","","◎","","","","","","","","","必ず中身を使い切り、容器の中を洗ってください。"
"2172","朝霞市","マネークリップ","","","","◎","","","","","","","","",""
"2173","朝霞市","マネキン(人台)","裁縫用","","","","","","","","","","◎","",""
"2174","朝霞市","マネキン頭部","理容、美容練習用","","◎","","","","","","","","","",""
"2175","朝霞市","マフラー","防寒用","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"2176","朝霞市","マフラー","自動車用","","","","","","","","","","◎","",""
"2177","朝霞市","魔法びん(ポット)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2178","朝霞市","豆電球","","","","◎","","","","","","","","",""
"2179","朝霞市","マヨネーズの容器","","ビニールチューブ製","◎","","","","","","","","","","中身は使い切ってください。"
"2180","朝霞市","マラカス","楽器","","","◎","","","","","","","","",""
"2181","朝霞市","丸太","","","","","","","","","","","◎","",""
"2182","朝霞市","マルチシート(農業用ビニール)","","","","","","","","","","","◎","",""
"2183","朝霞市","万年筆","","","","◎","","","","","","","","",""
"2184","朝霞市","万歩計(歩数計)","","","","◎","","","","","☆","","","","電池を取り外してください。"
"2185","朝霞市","ミートハンマー(肉たたき)","調理器具","木製","◎","","","","","","","","","",""
"2186","朝霞市","ミートハンマー(肉たたき)","調理器具","金属製","","◎","","","","","","","","",""
"2187","朝霞市","ミキサー(ジューサー)","調理器具","","","◎","","","","","","","","",""
"2188","朝霞市","ミサンガ","装身具","","◎","","","","","","","","","",""
"2189","朝霞市","ミシン","ポータブル式","","","◎","","","","○","","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。"
"2190","朝霞市","ミシン","足踏み式","","","","","","","","","","◎","",""
"2191","朝霞市","ミシンケース","ハードタイプ","プラスチック製","","◎","","","","○","","","","","50cm未満のものは不燃ごみ。"
"2192","朝霞市","ミシンケース","ソフトタイプ","布製、ナイロン製","◎","","","","","","","","","","50cm未満に切ってください。"
"2193","朝霞市","水着","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"2194","朝霞市","水切りかご","台所用","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2195","朝霞市","水切りラック","台所用","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2196","朝霞市","水切りワイパー","窓用","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2197","朝霞市","水差し(ピッチャー)","","","","◎","","","","","","","","",""
"2198","朝霞市","水鉄砲(ウォーターガン)","玩具","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2199","朝霞市","水拭きモップ","","","","","","","","◎","","","","",""
"2200","朝霞市","水枕","","","◎","","","","","","","","","","50cm未満に切ってください。"
"2201","朝霞市","ミニカー","玩具","","","◎","","","","","","","","",""
"2202","朝霞市","ミニコンポ","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2203","朝霞市","ミニスキー","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"2204","朝霞市","ミニディスク(MD)","","","","◎","","","","","","","","",""
"2205","朝霞市","ミニディスク(MD)プレーヤー","","","","◎","","","","","☆","","","","50cm以上のものは粗大ごみ。"
"2206","朝霞市","ミニ四駆","","","","◎","","","","","","","","",""
"2207","朝霞市","耳かき","","竹製","◎","","","","","","","","","",""
"2208","朝霞市","耳かき","","プラスチック製、金属製","","◎","","","","","","","","",""
"2209","朝霞市","耳毛カッター","","","","◎","","","","","☆","","","","電池を取り外してください。"
"2210","朝霞市","ミラーテープ(ラピーテープ)","文房具","","◎","","","","","","","","","","50cm未満に切ってください。"
"2211","朝霞市","ムース(整髪料)","スプレー缶","","","","◎","","","","","○","","","事故の原因となるため、必ず中身を使い切ってください。他の有害ごみと分けて出してください。どうしても中身を使い切れない場合はクリーンセンターへ直接お持ちください。"
"2212","朝霞市","ムートン製品(衣料品等)","","","◎","","","","","","","","","","50cm未満に切ってください。"
"2213","朝霞市","麦わら帽子","","","◎","","","","","","","","","","50cm未満に切ってください。"
"2214","朝霞市","虫かご","","竹製、木製","◎","","","","","","","","","",""
"2215","朝霞市","虫かご","","プラスチック製","","◎","","","","","","","","",""
"2216","朝霞市","蒸し器","調理器具","金属製","","◎","","","","","","","","",""
"2217","朝霞市","蒸し器(せいろ)","調理器具","竹製、木製","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2218","朝霞市","虫とり網","","","","○","","","","◎","","","","","50cm未満に切れば不燃ごみ。"
"2219","朝霞市","虫ピン","","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"2220","朝霞市","虫めがね(拡大鏡、ルーペ)","","","","◎","","","","","","","","",""
"2221","朝霞市","虫除けスプレーの缶","","","","","◎","","","","","○","","","事故の原因となるため、必ず中身を使い切ってください。他の有害ごみと分けて出してください。どうしても中身を使い切れない場合はクリーンセンターへ直接お持ちください。"
"2222","朝霞市","むしろ","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"2223","朝霞市","名刺","","","","","","","◎","","","","","",""
"2224","朝霞市","名刺入れ(名刺ケース)","","布製、皮革製、木製","◎","","","","","","","","","",""
"2225","朝霞市","名刺入れ(名刺ケース)","","金属製、プラスチック製","","◎","","","","","","","","",""
"2226","朝霞市","名刺ホルダー","文房具","","","◎","","","","","","","","",""
"2227","朝霞市","メールボックス(郵便受け)","","","","◎","","","","○","","","○","作り付けのもの、鋳鉄製のものは不可。","50cm以上のものは粗大ごみ。"
"2228","朝霞市","めがね","","","","◎","","","","","","","","",""
"2229","朝霞市","めがねケース","","布製、皮革製、木製","◎","","","","","","","","","",""
"2230","朝霞市","めがねケース","","金属製、プラスチック製","","◎","","","","","","","","",""
"2231","朝霞市","めがね拭き","","マイクロファイバー製等","◎","","","","","","","","","",""
"2232","朝霞市","メガホン","スポーツ観戦用","プラスチック製","","◎","","","","","","","","",""
"2233","朝霞市","メガホン(拡声器)","電池式","","","◎","","","","","","","○","仕事で使用したものは不可","電池を取り外してください。"
"2234","朝霞市","目薬の容器","","プラスチック製","","","","◎","","","","","","","中身は使い切ってください。"
"2235","朝霞市","目覚まし時計","","","","◎","","","","","☆","","","","電池を取り外してください。"
"2236","朝霞市","飯びつ(おひつ)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2237","朝霞市","メジャー(巻尺)","","","","◎","","","","","","","","",""
"2238","朝霞市","目玉クリップ","文房具","","","◎","","","","","","","","","透明袋に入れて出してください。"
"2239","朝霞市","メッシュケース","","","◎","","","","","","","","","",""
"2240","朝霞市","メッシュパネル(壁面ラック)","","金属製","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"2241","朝霞市","メトロノーム","","","","◎","","","","","☆","","","",""
"2242","朝霞市","メモリーカード","","","","◎","","","","","☆","","","","記録などは消去してください。"
"2243","朝霞市","メラミンスポンジ","","","◎","","","","","","","","","",""
"2244","朝霞市","メリーゴーランド","乳児用玩具","","","◎","","","","","","","","",""
"2245","朝霞市","メンディングテープ","文房具","","◎","","","","","","","","","",""
"2246","朝霞市","綿棒","","","◎","","","","","","","","","",""
"2247","朝霞市","麺棒","","調理器具","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2248","朝霞市","毛髪(髪の毛)","","","◎","","","","","","","","","",""
"2249","朝霞市","毛布(ブランケット)","","","","","","","◎","","","","","",""
"2250","朝霞市","モーター","玩具用","","","◎","","","","","☆","","","","玩具用などの小型のものに限ります。"
"2251","朝霞市","モーター","機械用","","","","","","","","","","◎","",""
"2252","朝霞市","木材","長さ50cm未満、厚み5cm未満、幅20cm未満","","◎","","","","","","","","○","建材は不可。",""
"2253","朝霞市","木炭(炭)","脱臭用、キャンプ用等","","◎","","","","","","","○","","","十分水で濡らして出してください。量が多い場合はクリーンセンターへ直接お持ちください。"
"2254","朝霞市","木ねじ","","","","◎","","","","","","","○","仕事で使用したものは不可","透明袋に入れて出してください。"
"2255","朝霞市","木馬","子供用","","","○","","","","◎","","","","",""
"2256","朝霞市","模造紙","","","","","","","◎","","","","","",""
"2257","朝霞市","模造刀","","","","○","","","","◎","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。50cm未満のものは不燃ごみ。"
"2258","朝霞市","餅つき機","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2259","朝霞市","木工用ボンドの容器","","プラスチック製","◎","","","","","","","","","","中身は使い切ってください。"
"2260","朝霞市","モップ","床清掃用","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"2261","朝霞市","モップ","ハンディ式","","","◎","","","","","","","","",""
"2262","朝霞市","モップ絞り器","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"2263","朝霞市","モデム(ルーター)","OA機器","","","◎","","","","","☆","","","",""
"2264","朝霞市","モデルガン(エアガン)","玩具","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。内部に弾が残っている場合は取り除いてください。"
"2265","朝霞市","モニター","パソコン用","","","","","","","","☆","◎","○","仕事で使用したものは不可
ブラウン管式は不可。","記録を完全に消去し、クリーンセンターへ直接持ち込むか、メーカー又は一般社団法人パソコン3R推進協会(℡03-5282-7685)に問い合わせる。また、ブラウン管式モニターは処理できません。一般社団法人パソコン3R推進協会に問い合わせてください。"
"2266","朝霞市","物置","100cm×90cm×90cm未満","","","","","","","◎","","","○","100cm×90cm×90cm以上のものは不可。",""
"2267","朝霞市","ものさし","","竹製、木製","◎","","","","","","","","","",""
"2268","朝霞市","ものさし","","プラスチック製、金属製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2269","朝霞市","物干し竿","180cm未満","","","","","","","◎","","","○","180cm以上のものは不可。",""
"2270","朝霞市","物干し台","180cm未満","","","","","","","◎","","","○","石材、180cm以上のものは不可。",""
"2271","朝霞市","モバイルバッテリー（携帯充電器）","","","","","◎","","","","","","","",""
"2272","朝霞市","モルタル","","","","","","","","","","","◎","",""
"2273","朝霞市","モンキーレンチ","工具","","","◎","","","","","","","○","仕事で使用したものは不可",""
"2274","朝霞市","門灯","照明器具","","","","","","","","","","◎","",""
"2275","朝霞市","門扉","","","","","","","","","","","◎","",""
"2276","朝霞市","やかん","","","","◎","","","","","","","","",""
"2277","朝霞市","焼き網","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2278","朝霞市","野球グローブ","","","◎","","","","","","","","","",""
"2279","朝霞市","野球バット","","","","〇","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"2280","朝霞市","野球ボール","軟球、硬球","","","◎","","","","","","","","",""
"2281","朝霞市","薬品","医薬品(錠剤)","","◎","","","","","","","","○","試薬、農薬は不可。","購入先、メーカーなどへ問い合わせてください。問い合わせて問題がなければ可燃ごみ。"
"2282","朝霞市","薬品","医薬品(液体)","","◎","","","","","","","","○","液体のままのものは不可。","購入先、メーカーなどへ問い合わせてください。問い合わせて問題がなければ古紙、古布等に染み込ませて可燃ごみ。"
"2283","朝霞市","薬品","試薬、農薬","","","","","","","","","","◎","","購入先、メーカーなどへ問い合わせてください。"
"2284","朝霞市","薬品の容器","医薬品用","プラスチック製","","","","◎","","","","","","","容器の中を軽く洗ってください。"
"2285","朝霞市","薬品の容器","医薬品用","ガラス製","","","","","◎","","","","","","容器の中を軽く洗ってください。"
"2286","朝霞市","薬品の容器","試薬用、農薬用","","","","","","","","","","◎","","購入先、メーカーなどへ問い合わせてください。"
"2287","朝霞市","やすり","","紙製","◎","","","","","","","","○","仕事で使用したものは不可",""
"2288","朝霞市","やすり","","鉄製","","◎","","","","","","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"2289","朝霞市","柳行李(やなぎごうり)","","籐製","○","","","","","◎","","","","","50cm未満のものは可燃ごみ。"
"2290","朝霞市","USBメモリー","","","","◎","","","","","☆","","","","記録などは消去してください。"
"2291","朝霞市","U字溝","","コンクリート製","","","","","","","","","◎","",""
"2292","朝霞市","融雪剤(塩化カルシウム)","","","","","","","","","","","◎","",""
"2293","朝霞市","誘導棒(合図灯)","","","","◎","","","","○","☆","","○","仕事で使用したものは不可","電池式は電池を取り外してください。50cm以上のものは粗大ごみ。"
"2294","朝霞市","郵便受け(メールボックス)","","","","◎","","","","○","","","○","作り付けのもの、鋳鉄製のものは不可。","50cm以上のものは粗大ごみ。"
"2295","朝霞市","浴衣(ゆかた)","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"2296","朝霞市","床暖房パネル","","","","","","","","","","","◎","",""
"2297","朝霞市","湯切りざる","","竹製","◎","","","","","","","","","",""
"2298","朝霞市","湯切りざる","","プラスチック製、金属製","","◎","","","","","","","","",""
"2299","朝霞市","油性ペン(油性マーカー)","","","","◎","","","","","","","","",""
"2300","朝霞市","湯たんぽ","","","","◎","","","","","","","","",""
"2301","朝霞市","ユニホーム","スポーツ用品","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"2302","朝霞市","湯のみ","","","","◎","","","","","","","","",""
"2303","朝霞市","指サック","文房具","","◎","","","","","","","","","",""
"2304","朝霞市","指輪(リング)","装身具","","","◎","","","","","","","","","透明袋に入れて出してください。"
"2305","朝霞市","ゆりかご","","","","","","","","◎","","","","",""
"2306","朝霞市","湯沸かし器(給湯器、温水器)","屋内型(タンク式は容量5リットルまで)","","","○","","","","◎","","","○","屋外型、容量5リットルを超えるタンク式、ヒートポンプ式、太陽熱温水器(ソーラー温水器)は不可。","50cm未満のものは不燃ごみ。電池は取り外してください。"
"2307","朝霞市","容器、包装","食料品トレイ、コンビニ弁当や惣菜等の容器、その他食料品(菓子類を含む)の商品を包んでいた袋やフィルム、容器等","プラスチック製","○","","","◎","","","","","","","軽く洗い、汚れが取れないものは可燃ごみ。"
"2308","朝霞市","容器、包装","コンビニ弁当等に付けられた割り箸、スプーン、フォーク等の袋、飲料に付属したストローの袋等","プラスチック製","","","","◎","","","","","","",""
"2309","朝霞市","容器、包装","商品を包んでいたシュリンクフィルム(プラスチック製フィルム)、シュリンクパック(プラスチック製パック)","プラスチック製","","","","◎","","","","","","",""
"2310","朝霞市","容器、包装","ペットボトル等のシュリンクラベル(プラスチック製ラベル)","プラスチック製","","","","◎","","","","","","",""
"2311","朝霞市","容器、包装","食パン等の袋の留め具","プラスチック製","","","","◎","","","","","","",""
"2312","朝霞市","容器、包装","洗剤、シャンプー等の容器、それに付属するトリガー部分、ポンプ部分","プラスチック製","","","","◎","","","","","","",""
"2313","朝霞市","容器、包装","緩衝材(比較的小型のものが、多数段ボール箱等に詰められることにより、商品との空間を埋めているものを除く)","プラスチック製","○","","","◎","","","","","","","比較的小型のものが、多数段ボール箱等に詰められることにより、商品との空間を埋めているものは可燃ごみ。"
"2314","朝霞市","容器、包装","レジ袋","プラスチック製","","","","◎","","","","","","",""
"2315","朝霞市","洋裁ばさみ(裁ちばさみ)","","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"2316","朝霞市","養生用テープ","","","◎","","","","","","","","○","仕事で使用したものは不可",""
"2317","朝霞市","用箋挟み","","紙製","◎","○","","","","","","","","","留め具は取り外して不燃ごみ。"
"2318","朝霞市","用箋挟み","","プラスチック製、金属製","","◎","","","","","","","","",""
"2319","朝霞市","洋服(衣類)","","","○","","","","◎","","","","","","綿が入っているもの、皮革製のもの、著しく汚損しているものは50cm未満に切って可燃ごみ。"
"2320","朝霞市","洋服カバー(衣類カバー)","","ビニール製、不織布製","◎","","","","","","","","","","50cm未満に切ってください。"
"2321","朝霞市","洋服だんす","","","","","","","","◎","","","","",""
"2322","朝霞市","洋服ブラシ","","木製","◎","","","","","","","","","",""
"2323","朝霞市","洋服ブラシ","","プラスチック製","","◎","","","","","","","","",""
"2324","朝霞市","浴室乾燥機","","","","","","","","","","","◎","",""
"2325","朝霞市","浴槽(バスタブ)","","","","","","","","","","","◎","",""
"2326","朝霞市","よしず","","竹・葦(ヨシ)","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。ひもで直径30cm未満に束ねる。1度に出せるのは2束まで。金具は不燃ごみ。"
"2327","朝霞市","ラーメンどんぶり","","","","◎","","","","","","","○","仕事で使用したものは不可",""
"2328","朝霞市","ライター類","ガス式、オイル式、使い捨て式","","","","◎","","","","","○","","","事故の原因となるため、必ず中身を使い切ってください。他の有害ごみと分けて出してください。どうしても中身を使い切れない場合はクリーンセンターへ直接お持ちください。"
"2329","朝霞市","ライティングデスク","","","","","","","","◎","","","○","仕事で使用したものは不可",""
"2330","朝霞市","ライフジャケット(救命胴衣)","","","◎","","","","","","","","○","仕事で使用したものは不可","50cm未満に切ってください。"
"2331","朝霞市","ラインカー","","","","","","","","","","","◎","",""
"2332","朝霞市","ラグビーボール","","","◎","","","","","","","","","","中の空気を抜いてください。"
"2333","朝霞市","ラグマット","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"2334","朝霞市","ラケット(スポーツ用品)","","","","〇","","","","◎","","","","","長さにかかわらず不燃ごみ。"
"2335","朝霞市","ラジオ","","","","◎","","","","○","☆","","","","50cm以上のものは粗大ごみ。"
"2336","朝霞市","ラジオカセットレコーダー","","","","◎","","","","○","☆","","","","50cm以上のものは粗大ごみ。"
"2337","朝霞市","ラジオペンチ","工具","","","◎","","","","","","","○","仕事で使用したものは不可",""
"2338","朝霞市","ラジコンカー","電動式","","","◎","","","","○","☆","","","","50cm以上のものは粗大ごみ。バッテリーは販売店、リサイクル協力店等のボックス回収等をご利用してください。"
"2339","朝霞市","ラック","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"2340","朝霞市","ラッピングフィルム","","","","","","◎","","","","","","",""
"2341","朝霞市","ラップ","調理用品","","◎","","","","","","","","","",""
"2342","朝霞市","ラップの芯","","","","","","","◎","","","","","",""
"2343","朝霞市","ラップの箱","","","","○","","","◎","","","","","","箱の紙部分は資源(雑誌、雑がみ)。金属刃は収集時に危険のないよう、紙などに包み「キケン」と表示し、不燃ごみ。紙刃は可燃ごみ。"
"2344","朝霞市","ラティスフェンス(園芸用柵)","","","","","","","","◎","","","","",""
"2345","朝霞市","ラバーカップ(吸引棒)","トイレ清掃用","","","","","","","◎","","","","",""
"2346","朝霞市","ラピーテープ(ミラーテープ)","文房具","","◎","","","","","","","","","","50cm未満に切ってください。"
"2347","朝霞市","ラベルプリンター(ラベルライター)","","","","◎","","","","","☆","","","",""
"2348","朝霞市","ラミネーター(パウチラミネーター)","家庭用","","","◎","","","","○","","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。"
"2349","朝霞市","ラミネート紙","","","◎","","","","","","","","○","仕事で使用したものは不可",""
"2350","朝霞市","ラミネートフィルム(パウチフィルム)","","","◎","","","","","","","","○","仕事で使用したものは不可",""
"2351","朝霞市","ランタン","オイル式","","","◎","","","","","","","○","鋳鉄製は不可。","必ずオイルを使い切ってください。"
"2352","朝霞市","ランタン","電池式、充電式","","","◎","〇","","","","☆","","○","鋳鉄製は不可。
充電池内蔵式は有害ごみ","電池式は電池を取り外してください。"
"2353","朝霞市","ランチジャー(保温弁当箱)","","","","◎","","","","","","","","",""
"2354","朝霞市","ランチマット(ランチョンマット)","","","◎","","","","","","","","","","50cm未満に切ってください。"
"2355","朝霞市","ランドセル","","","◎","○","","","","○","","","","","金具が取り外せないものは不燃ごみ。50cm以上のものは粗大ごみ。"
"2356","朝霞市","ランドリーラック","","","","","","","","◎","","","","",""
"2357","朝霞市","ランドリーワゴン","","","","","","","","◎","","","","",""
"2358","朝霞市","ランニングマシーン","健康器具","","","","","","","◎","","","","",""
"2359","朝霞市","ランプ","燃料式","","","◎","","","","","","","○","鋳鉄製は不可。","必ず燃料を使い切ってください。"
"2360","朝霞市","ランプ","電気式","","","◎","","","","","☆","","○","鋳鉄製は不可。","電球を取り外してください。"
"2361","朝霞市","ランプシェード(電気かさ)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"2362","朝霞市","リアプロジェクションテレビ","180cm未満","","","","","","","◎","","","○","180cm以上のものは不可。",""
"2363","朝霞市","リード","ペット用","","","◎","","","","","","","","","50cm未満に切ってください。"
"2364","朝霞市","リール(釣具)","手動式","","","◎","","","","","","","","","釣り糸はリールから外し、50cm未満に切って可燃ごみ。"
"2365","朝霞市","リール(釣具)","電動式","","","◎","","","","","☆","","","","釣り糸はリールから外し、50cm未満に切って可燃ごみ。電池は取り外してください。"
"2366","朝霞市","リコーダー(縦笛)","楽器","","","◎","","","","","","","","",""
"2367","朝霞市","リチウムイオン電池","充電式","","","","○","","","","","","◎","","販売店、リサイクル協力店への返却を優先してください。車載用バッテリーなどは処理不可。"
"2368","朝霞市","リチウム電池","非充電式","","","","◎","","","","","","","",""
"2369","朝霞市","リップクリームの容器","","プラスチック製","○","","","◎","","","","","","","中身を使い切り、容器の中を洗ってください。プラマークがあり、汚れや匂いとれないものは可燃ごみ。"
"2370","朝霞市","リビングボード","","","","","","","","◎","","","","",""
"2371","朝霞市","リムーバー(除針器)","手動式","","","◎","","","","","","","","",""
"2372","朝霞市","リムーバー(除針器)","電池式","","","◎","","","","","☆","","","","電池を取り外してください。"
"2373","朝霞市","リモコン","","","","◎","","","","","☆","","","","電池を取り外してください。家電4品目のリモコンは家電リサイクル法対象品目。"
"2374","朝霞市","リヤカー","","","","","","","","","","","◎","",""
"2375","朝霞市","リヤカータイヤ","","","","","","","","","","","◎","",""
"2376","朝霞市","硫酸紙(トレーシングペーパー)","","","◎","","","","","","","","","",""
"2377","朝霞市","リュックサック(デイパック)","","","◎","○","","","","","","","","","金具は取り外して不燃ごみ。金具が取り外せないものは不燃ごみ。"
"2378","朝霞市","理容、美容練習器具","マネキン頭部","","◎","","","","","","","","○","仕事で使用したものは不可",""
"2379","朝霞市","両面テープ","","","◎","","","","","","","","","",""
"2380","朝霞市","リング(指輪)","装身具","","","◎","","","","","","","","","透明袋に入れて出してください。"
"2381","朝霞市","リング式ファイル","","紙製","◎","○","","","","","","","○","仕事で使用したものは不可","留め具は取り外して不燃ごみ。"
"2382","朝霞市","リング式ファイル","","プラスチック製","","◎","","","","","","","○","仕事で使用したものは不可",""
"2383","朝霞市","リンスの容器","ポンプ部分を含む","プラスチック製","","","","◎","","","","","","","容器の中を軽く洗ってください。"
"2384","朝霞市","ルアー","釣具","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"2385","朝霞市","ルーズリーフ","ノート","","","","","","◎","","","","","",""
"2386","朝霞市","ルーター(モデム)","OA機器","","","◎","","","","","☆","","","",""
"2387","朝霞市","ルーフキャリア","車載用","","","","","","","◎","","","○","180cm以上のものは不可。",""
"2388","朝霞市","ルーフボックス","車載用","","","","","","","◎","","","○","180cm以上のものは不可。",""
"2389","朝霞市","ルーペ(拡大鏡、虫めがね)","","","","◎","","","","","","","","",""
